NID	Distance(AU)	Family	Duration(days)	Energy(km/s)	Resources
1991JW	1.04	Apollo	346	6.394	C
1997YM9	1.1	Apollo	338	6.725	null
1999AO10	0.91	Aten	115	6.44	Pt
1999NW2	1.12	Apollo	358	7.027	Au
1999RA32	1.03	Apollo	178	6.92	Pt
1999RQ36	1.13	Apollo	360	7.36	C
1999SF10	1.28	Apollo	221	7.302	Au
1999SO5	1.09	Apollo	362	7.44	Pd
2000SG344	0.98	Aten	82	3.518	Ag
2001BB16	0.85	Aten	220	7.416	Ag
2001CQ36	0.94	Aten	260	5.833	null
2001FR85	0.98	Aten	124	4.487	null
2001QE71	1.08	Apollo	282	6.979	Au
2001QJ142	1.06	Apollo	147	5.323	Pt
2001VC2	1.04	Apollo	362	7.282	Pd
2001VE2	1.11	Apollo	321	6.816	Au
2002AW	1.07	Apollo	309	7.22	Pd
2002BF25	1.07	Apollo	347	6.905	Au
2002XY38	0.91	Aten	281	6.588	Pt
2003CA4	0.92	Aten	360	7.264	Ag
2003LH	0.96	Aten	361	7.195	Pd
2003LN6	0.86	Aten	146	6.494	C
2003SM84	1.13	Amor	353	7.286	Ag
2004JN1	1.09	Apollo	212	6.732	Ag
2004MN4	0.92	Aten	267	6.235	C
2004VJ1	0.94	Aten	208	7.131	Pd
2005CD69	1.09	Apollo	357	7.421	Ag
2005FJ	1.09	Amor	348	6.945	Pt
2005GE60	0.96	Aten	337	6.545	Pd
2005KA	0.84	Aten	187	7.473	Pd
2005TG50	0.92	Aten	226	6.343	Au
2005UG5	1.06	Apollo	324	6.011	C
2006BJ55	1.03	Apollo	306	5.4	Pt
2006CT	1.1	Apollo	346	7.383	Pd
2006FH36	0.95	Aten	257	6.092	C
2006RJ1	0.95	Aten	351	7.198	Ag
2006WB	0.85	Aten	134	6.869	Pd
2006XP4	0.87	Aten	249	6.84	null
2006XW	1.1	Amor	350	6.849	null
2006XW4	1.04	Apollo	351	6.571	Au
2007AA2	1.03	Apollo	344	6.312	Au
2007CS5	0.98	Aten	362	7.208	Ag
2007HL4	1.12	Amor	353	6.884	Ag
2007PS9	1.07	Apollo	334	6.494	null
2007SQ6	1.04	Apollo	348	6.401	Ag
2007TF15	1.11	Amor	341	6.922	Au
2007TH3	0.97	Aten	354	6.896	C
2007UP6	0.97	Aten	347	6.265	C
2007UW1	0.91	Aten	173	7.123	Au
2007UY1	0.95	Aten	246	5.225	Ag
2007VV83	0.97	Aten	195	7.426	Pd
2007WA	1.04	Apollo	296	5.951	Au
2007YF	0.95	Aten	207	5.837	Pd
2008EV5	0.96	Aten	341	6.094	Pd
2008GD110	1.02	Apollo	357	7.245	null
2008LH2	0.98	Aten	342	6.78	Pt
2009BL71	0.94	Aten	332	7.076	C
2009CV	1.11	Apollo	181	6.221	Ag
2009HC	1.04	Apollo	263	5.068	null
2009OS5	1.14	Amor	103	6.642	Pd
2009TP	1.03	Apollo	269	5.669	C
2009UY19	1.02	Apollo	150	4.765	Au
2009YF	0.94	Aten	176	6.369	C
2010CD55	1.02	Apollo	343	6.275	null
2010CO44	1.07	Apollo	358	7.297	Pt
2010EX11	0.96	Aten	352	6.858	null
2010HA	0.96	Aten	260	6.296	Au
2010JK1	1.03	Apollo	244	5.119	Ag
2010UP	1.07	Apollo	334	6.165	Pt
2010WU8	0.96	Aten	339	7.124	Au
2010XF3	0.95	Aten	175	6.954	Pt
2011AA37	1.1	Amor	307	6.541	Au
2011DV	0.96	Aten	345	5.859	Ag
