Agency	MID	Num	Type	Energy(km/s)	T(days)	Capacity(m3)	Charge($/day)
RSA	0219	3	A	5.5	206	26	1954
ISRO	0122	4	A	7.3	334	28	831
CNSA	0027	3	E	4.2	39	null	988
RSA	0256	1	A	9.1	147	21	2606
CNSA	0102	5	E	4.9	69	null	618
ESA	0120	1	A	6.9	260	16	1102
ISRO	0040	1	A	7.5	292	22	2693
RSA	0023	3	E	2.9	75	null	689
RSA	0000	4	E	2	64	null	662
CNSA	0067	1	E	2.9	74	null	821
RSA	0198	7	E	2.4	39	null	693
NASA	0118	1	E	4.9	72	null	521
RSA	0294	5	E	4.9	72	null	862
RSA	0093	5	E	2.8	52	null	697
ISRO	0156	2	E	1.5	74	null	700
ISRO	0110	5	E	4	75	null	914
NASA	0124	2	A	9.4	299	8	2918
RSA	0005	3	E	4.5	53	null	502
ESA	0077	7	E	4.4	50	null	702
NASA	0204	6	A	7.4	259	25	2403
ISRO	0081	4	E	4.9	31	null	688
RSA	0206	5	A	6.9	157	7	1715
CNSA	0285	3	A	6.3	392	22	1081
RSA	0284	1	E	1.3	92	null	898
ESA	0177	2	E	1.3	53	null	951
CNSA	0123	4	A	8.3	268	20	2362
ISRO	0251	2	E	1.7	66	null	961
RSA	0224	5	E	4.3	37	null	708
ISRO	0242	2	E	3.5	35	null	841
RSA	0292	7	A	6.2	178	9	2195
ESA	0162	4	A	7.6	318	23	1130
RSA	0159	4	E	3.7	46	null	738
ESA	0094	4	E	3.3	83	null	925
ESA	0076	7	E	1.1	87	null	992
RSA	0053	6	A	6.2	105	8	2420
RSA	0236	2	A	5.2	127	9	2484
ESA	0291	2	E	1.9	39	null	829
ISRO	0212	2	E	4.5	70	null	999
ESA	0231	7	E	3	57	null	797
ISRO	0064	5	A	9.7	149	14	1483
NASA	0121	3	A	6.2	164	25	2753
ESA	0058	3	E	3.7	73	null	549
ISRO	0296	6	E	1.2	47	null	780
ISRO	0036	5	E	4.6	30	null	513
ESA	0051	4	A	9.2	368	26	2625
NASA	0042	4	E	4.9	84	null	845
NASA	0149	6	A	5.5	162	24	1597
CNSA	0059	4	E	2	99	null	918
ISRO	0179	3	A	7.4	225	13	2008
ISRO	0070	4	E	2.3	48	null	984
